step,O2,IFN,IL2,IL10,TGFB,CCL2,ARGI,NO,IL12,VEGFA
0,0.0,1.04427e-08,0.0,3.20056e-05,0.000118663,0.00011341,4.61861e-05,8.84483e-06,2.28964e-08,3.24595e-05
1,7.91788e-06,1.1277e-08,0.000120153,3.19978e-05,0.0,0.0,4.6188e-05,8.90071e-06,2.43871e-08,3.24676e-05
2,0.0,1.20466e-08,0.0,3.19922e-05,0.00011466,0.000113724,4.61867e-05,8.95529e-06,2.57229e-08,3.24792e-05
3,7.9177e-06,1.27462e-08,0.000116747,3.19866e-05,0.0,0.0,4.61879e-05,9.00861e-06,2.69114e-08,3.24784e-05
4,0.0,1.33936e-08,0.0,3.19757e-05,0.00011301,0.00011571,4.61871e-05,9.0607e-06,2.79625e-08,3.25734e-05
5,7.91754e-06,1.40062e-08,0.000114899,3.19571e-05,0.0,0.0,4.61878e-05,9.11159e-06,2.88872e-08,3.25432e-05
6,0.0,1.42049e-08,0.0,3.19468e-05,0.000113193,0.000115088,4.61873e-05,9.1613e-06,2.91688e-08,3.2546e-05
7,7.91744e-06,1.43984e-08,0.000113153,3.19407e-05,0.0,0.0,4.61888e-05,9.2091e-06,2.94257e-08,3.2591e-05
8,0.0,1.45875e-08,0.0,3.19369e-05,0.000111347,0.000115859,4.61852e-05,9.2546e-06,2.96675e-08,3.26051e-05
9,7.91741e-06,1.47725e-08,0.000112378,3.19278e-05,0.0,0.0,4.61879e-05,9.29843e-06,2.98975e-08,3.26065e-05
10,0.0,1.49533e-08,0.0,3.1917e-05,0.000111228,0.000116887,4.61859e-05,9.34098e-06,3.01171e-08,3.26532e-05
11,7.91723e-06,1.51303e-08,0.000109697,3.19084e-05,0.0,0.0,4.61877e-05,9.38246e-06,3.03272e-08,3.26479e-05
12,0.0,1.53035e-08,0.0,3.19036e-05,0.000110372,0.000117026,4.61865e-05,9.42296e-06,3.05285e-08,3.26717e-05
13,7.91702e-06,1.54744e-08,0.000107345,3.19013e-05,0.0,0.0,4.61876e-05,9.4625e-06,3.07225e-08,3.26574e-05
14,0.0,1.56427e-08,0.0,3.19002e-05,0.000106854,0.00011845,4.61869e-05,9.50113e-06,3.09123e-08,3.27604e-05
15,7.917e-06,1.58125e-08,0.000107137,3.18993e-05,0.0,0.0,4.61876e-05,9.52423e-06,3.11022e-08,3.27487e-05
16,0.0,1.59894e-08,0.0,3.18983e-05,0.000104316,0.000117957,4.61874e-05,9.5537e-06,3.12967e-08,3.27436e-05
17,7.91689e-06,1.61755e-08,0.000100725,3.1897e-05,0.0,0.0,4.61836e-05,9.58524e-06,3.14985e-08,3.27794e-05
18,0.0,1.63689e-08,0.0,3.18945e-05,0.000102706,0.000119,4.61856e-05,9.61733e-06,3.17082e-08,3.27983e-05
19,7.91671e-06,1.65694e-08,9.86912e-05,3.189e-05,0.0,0.0,4.61828e-05,9.64934e-06,3.19236e-08,3.28324e-05
20,0.0,1.67737e-08,0.0,3.18863e-05,0.000100831,0.000120429,4.61838e-05,9.6807e-06,3.21395e-08,3.2879e-05
21,7.91667e-06,1.69764e-08,9.54635e-05,3.16902e-05,0.0,0.0,4.61818e-05,9.71113e-06,3.23486e-08,3.28616e-05
22,0.0,1.71716e-08,0.0,3.15672e-05,0.000101918,0.000121584,4.61824e-05,9.74067e-06,3.25423e-08,3.2897e-05
23,7.91645e-06,1.7355e-08,9.46008e-05,3.15255e-05,0.0,0.0,4.61819e-05,9.76944e-06,3.27115e-08,3.29333e-05
24,0.0,1.75215e-08,0.0,3.15125e-05,0.000102094,0.000122448,4.61786e-05,9.79749e-06,3.28472e-08,3.29646e-05
25,7.91629e-06,1.76666e-08,9.60357e-05,3.15084e-05,0.0,0.0,4.61814e-05,9.82487e-06,3.29411e-08,3.29593e-05
26,0.0,1.77835e-08,0.0,3.15047e-05,0.000101047,0.000123433,4.6179e-05,9.85161e-06,3.29863e-08,3.30136e-05
27,7.91619e-06,1.787e-08,9.33206e-05,3.14941e-05,0.0,0.0,4.61806e-05,9.87773e-06,3.29772e-08,3.30383e-05
28,0.0,1.79301e-08,0.0,3.14878e-05,9.7327e-05,0.000123642,4.61791e-05,9.90325e-06,3.29098e-08,3.3045e-05
29,7.91614e-06,1.79571e-08,9.15963e-05,3.14851e-05,0.0,0.0,4.61801e-05,9.92817e-06,3.27816e-08,3.30783e-05
30,0.0,1.78532e-08,0.0,3.14356e-05,9.43245e-05,0.000124851,4.61791e-05,9.95253e-06,3.21863e-08,3.31021e-05
31,7.91598e-06,2.01661e-08,8.82595e-05,3.13867e-05,0.0,0.0,4.61798e-05,9.97628e-06,3.23658e-08,3.31019e-05
32,0.0,3.73138e-08,0.0,3.13685e-05,9.82072e-05,0.000125629,4.61801e-05,9.99868e-06,3.44152e-08,3.31574e-05
33,7.91589e-06,7.37948e-08,8.91933e-05,3.13629e-05,0.0,0.0,4.61769e-05,1.00197e-05,4.51263e-08,3.31819e-05
34,0.0,1.23957e-07,0.0,3.1361e-05,9.64714e-05,0.000125924,4.61798e-05,1.00395e-05,5.43195e-08,3.31887e-05
35,7.91567e-06,1.80441e-07,8.77632e-05,3.13517e-05,0.0,0.0,4.61777e-05,1.00578e-05,9.40225e-08,3.32224e-05
36,0.0,2.37549e-07,0.0,3.13291e-05,9.46422e-05,0.000126913,4.61795e-05,1.00742e-05,1.27074e-07,3.32187e-05
37,7.91552e-06,2.91664e-07,8.48665e-05,3.1295e-05,0.0,0.0,4.6178e-05,1.00889e-05,1.44851e-07,3.32519e-05
38,0.0,3.41286e-07,0.0,3.12766e-05,9.41806e-05,0.000127671,4.61793e-05,1.01024e-05,1.81426e-07,3.32627e-05
39,7.91554e-06,3.85035e-07,8.31904e-05,3.12585e-05,0.0,0.0,4.61783e-05,1.01151e-05,2.17808e-07,3.32832e-05
40,0.0,4.22844e-07,0.0,3.08614e-05,9.28746e-05,0.000130208,4.61792e-05,1.01273e-05,2.5177e-07,3.33507e-05
41,7.91534e-06,4.54768e-07,8.1417e-05,3.06944e-05,0.0,0.0,4.61785e-05,1.01388e-05,2.67439e-07,3.3389e-05
42,0.0,4.81388e-07,0.0,3.06453e-05,9.56129e-05,0.000131201,4.61791e-05,1.01497e-05,2.94777e-07,3.34198e-05
43,7.91524e-06,5.03281e-07,8.54829e-05,3.06282e-05,0.0,0.0,4.61787e-05,1.016e-05,3.06715e-07,3.33932e-05
44,0.0,5.21577e-07,0.0,3.06187e-05,9.70846e-05,0.000131436,4.61791e-05,1.01697e-05,3.37076e-07,3.34308e-05
45,7.91509e-06,5.36605e-07,8.19331e-05,3.06123e-05,0.0,0.0,4.61788e-05,1.01791e-05,3.54537e-07,3.34262e-05
46,0.0,5.48358e-07,0.0,3.06058e-05,9.16191e-05,0.000131375,4.61791e-05,1.01882e-05,3.63097e-07,3.34296e-05
47,7.91506e-06,5.58614e-07,7.99883e-05,3.05915e-05,0.0,0.0,4.61789e-05,1.01968e-05,3.80023e-07,3.34603e-05
48,0.0,5.6761e-07,0.0,3.05821e-05,9.18877e-05,0.000131773,4.61791e-05,1.02046e-05,3.96418e-07,3.34647e-05
49,7.91501e-06,5.74171e-07,7.9493e-05,3.05778e-05,0.0,0.0,4.6179e-05,1.02117e-05,4.10859e-07,3.35294e-05
50,0.0,5.78634e-07,0.0,3.05759e-05,9.35063e-05,0.000132034,4.61791e-05,1.02183e-05,4.22266e-07,3.34891e-05
51,7.91489e-06,5.82869e-07,7.87857e-05,3.06223e-05,0.0,0.0,4.6179e-05,1.02242e-05,4.30036e-07,3.34967e-05
52,0.0,5.82424e-07,0.0,3.06336e-05,9.47728e-05,0.000134527,4.61791e-05,1.02297e-05,4.32859e-07,3.35604e-05
53,7.91474e-06,5.88788e-07,8.26196e-05,3.06159e-05,0.0,0.0,4.6179e-05,1.0234e-05,4.37005e-07,3.36053e-05
54,0.0,5.91011e-07,0.0,3.06014e-05,9.35048e-05,0.000135301,4.61791e-05,1.02374e-05,4.3813e-07,3.3628e-05
55,7.91456e-06,5.93386e-07,8.21167e-05,3.05916e-05,0.0,0.0,4.6179e-05,1.024e-05,4.38938e-07,3.36235e-05
56,0.0,5.93941e-07,0.0,3.05741e-05,9.30987e-05,0.000136491,4.61791e-05,1.02422e-05,4.42855e-07,3.36735e-05
57,7.91454e-06,5.93872e-07,7.95234e-05,3.05624e-05,0.0,0.0,4.6179e-05,1.02442e-05,4.46638e-07,3.36792e-05
58,0.0,5.9269e-07,8.21114e-07,3.05542e-05,9.08946e-05,0.000136618,4.6179e-05,1.02426e-05,4.48954e-07,3.36818e-05
59,7.91448e-06,5.9242e-07,7.87924e-05,3.05469e-05,0.0,0.0,4.6179e-05,1.02395e-05,4.53961e-07,3.37264e-05
60,0.0,5.91444e-07,5.4638e-06,3.05394e-05,9.06612e-05,0.000137765,4.6179e-05,1.02348e-05,4.56713e-07,3.37491e-05
61,7.91432e-06,5.91348e-07,7.51769e-05,3.05345e-05,0.0,0.0,4.6179e-05,1.02186e-05,4.6455e-07,3.37579e-05
62,0.0,5.91214e-07,1.11487e-05,3.053e-05,8.78342e-05,0.000138383,4.61789e-05,1.02074e-05,4.69294e-07,3.37812e-05
63,7.91433e-06,5.90841e-07,7.45478e-05,3.05182e-05,0.0,0.0,4.61785e-05,1.01989e-05,4.71908e-07,3.38022e-05
64,0.0,5.89646e-07,2.34921e-05,3.05095e-05,8.74217e-05,0.000139561,4.61779e-05,1.01917e-05,4.77654e-07,3.38459e-05
65,7.91397e-06,5.88752e-07,7.22888e-05,3.05016e-05,0.0,0.0,4.61773e-05,1.01853e-05,4.83694e-07,3.38288e-05
66,0.0,5.86849e-07,2.4845e-05,3.04868e-05,8.90344e-05,0.000140485,4.61767e-05,1.01795e-05,4.8843e-07,3.38896e-05
67,7.91398e-06,5.85549e-07,7.03136e-05,3.04767e-05,0.0,0.0,4.61761e-05,1.0174e-05,4.90742e-07,3.39177e-05
68,0.0,5.83443e-07,2.6151e-05,3.04714e-05,8.88148e-05,0.000140968,4.61755e-05,1.01687e-05,4.902e-07,3.39291e-05
69,7.91359e-06,5.80485e-07,6.88848e-05,3.04688e-05,0.0,0.0,4.6175e-05,1.01623e-05,4.87426e-07,3.39491e-05
70,0.0,5.7764e-07,2.72869e-05,3.04671e-05,8.87357e-05,0.0001418,4.61745e-05,1.0155e-05,4.82883e-07,3.39815e-05
71,7.91357e-06,5.75756e-07,6.68836e-05,3.04643e-05,0.0,0.0,4.61741e-05,1.0147e-05,4.80364e-07,3.39962e-05
72,0.0,5.72451e-07,3.15437e-05,3.03715e-05,8.53495e-05,0.000143684,4.61737e-05,1.01385e-05,4.71574e-07,3.40188e-05
73,7.91355e-06,5.71363e-07,6.62079e-05,3.02629e-05,0.0,0.0,4.61733e-05,1.01297e-05,4.66264e-07,3.40008e-05
74,0.0,5.70813e-07,3.19995e-05,3.02109e-05,8.51436e-05,0.000144313,4.6173e-05,1.01206e-05,4.64381e-07,3.40455e-05
75,7.91369e-06,5.69714e-07,6.53332e-05,3.01902e-05,0.0,0.0,4.61727e-05,1.01111e-05,4.61863e-07,3.40723e-05
76,0.0,5.69127e-07,3.24581e-05,3.01819e-05,8.39772e-05,0.000144993,4.61724e-05,1.01012e-05,4.62426e-07,3.40971e-05
77,7.9133e-06,5.68913e-07,6.44996e-05,3.01782e-05,0.0,0.0,4.61722e-05,1.00911e-05,4.63387e-07,3.40879e-05
78,0.0,5.65257e-07,3.3465e-05,3.01778e-05,8.32109e-05,0.000145172,4.6172e-05,1.00804e-05,4.66109e-07,3.40924e-05
79,7.91333e-06,5.67166e-07,6.2088e-05,3.01785e-05,0.0,0.0,4.61718e-05,1.00692e-05,4.67896e-07,3.41747e-05
80,0.0,5.62953e-07,3.4214e-05,3.01729e-05,8.09162e-05,0.000146839,4.61716e-05,1.00577e-05,4.73353e-07,3.41869e-05
81,7.91297e-06,5.62576e-07,5.98378e-05,3.01592e-05,0.0,0.0,4.61715e-05,1.00462e-05,4.76791e-07,3.42309e-05
82,0.0,5.60318e-07,3.83803e-05,3.01473e-05,8.617e-05,0.000147553,4.61713e-05,1.00345e-05,4.78761e-07,3.42088e-05
83,7.91289e-06,5.58119e-07,5.6962e-05,3.01388e-05,0.0,0.0,4.61712e-05,1.00224e-05,4.83142e-07,3.42219e-05
84,0.0,5.5692e-07,3.86483e-05,3.0133e-05,8.62897e-05,0.000148133,4.61711e-05,1.00101e-05,4.8784e-07,3.4235e-05
85,7.91298e-06,5.58913e-07,5.32319e-05,3.01287e-05,0.0,0.0,4.6171e-05,9.99745e-06,4.91543e-07,3.42713e-05
86,0.0,5.57189e-07,4.06106e-05,3.00194e-05,7.92067e-05,0.000149539,4.61709e-05,9.98458e-06,4.92775e-07,3.42734e-05
87,7.91286e-06,5.54958e-07,4.84501e-05,2.99338e-05,0.0,0.0,4.61708e-05,9.97162e-06,4.93041e-07,3.42763e-05
88,0.0,5.49452e-07,4.03629e-05,2.98883e-05,7.66053e-05,0.000149267,4.61707e-05,9.95873e-06,4.91136e-07,3.42662e-05
89,7.9127e-06,5.51848e-07,4.37908e-05,2.98678e-05,0.0,0.0,4.61706e-05,9.94598e-06,4.8737e-07,3.43148e-05
90,0.0,5.52125e-07,4.06797e-05,2.98586e-05,7.95295e-05,0.000150573,4.61705e-05,9.93344e-06,4.82033e-07,3.43349e-05
91,7.91269e-06,5.52751e-07,3.95749e-05,2.98538e-05,0.0,0.0,4.61704e-05,9.92113e-06,4.75963e-07,3.43458e-05
92,0.0,5.50153e-07,3.98061e-05,2.98499e-05,7.61154e-05,0.000150893,4.61703e-05,9.90872e-06,4.69546e-07,3.43543e-05
93,7.91243e-06,5.50287e-07,3.62956e-05,2.9846e-05,0.0,0.0,4.61702e-05,9.89569e-06,4.665e-07,3.44176e-05
94,0.0,5.51351e-07,3.92105e-05,2.9843e-05,7.86711e-05,0.000151439,4.61702e-05,9.88265e-06,4.6029e-07,3.43874e-05
95,7.91243e-06,5.51626e-07,3.54698e-05,2.98408e-05,5.62735e-07,0.0,4.61701e-05,9.86983e-06,4.54766e-07,3.44283e-05
96,0.0,5.5436e-07,3.90465e-05,2.98391e-05,7.87448e-05,0.000152539,4.617e-05,9.85729e-06,4.50045e-07,3.44459e-05
97,7.91239e-06,5.5263e-07,3.50609e-05,2.98377e-05,0.0,0.0,4.61699e-05,9.82753e-06,4.45851e-07,3.44244e-05
98,0.0,5.52791e-07,3.80297e-05,2.98362e-05,7.42549e-05,0.000152494,4.61713e-05,9.78687e-06,4.4203e-07,3.44456e-05
99,7.91246e-06,5.51289e-07,3.4877e-05,2.92277e-05,1.7026e-06,0.0,4.61696e-05,9.76125e-06,4.38517e-07,3.44809e-05
100,0.0,5.49061e-07,3.79925e-05,2.89724e-05,7.89792e-05,0.000155857,4.61664e-05,9.74085e-06,4.35298e-07,3.45134e-05
101,7.91206e-06,5.46658e-07,3.52793e-05,2.88732e-05,5.56155e-06,0.0,4.61631e-05,9.72292e-06,4.32364e-07,3.45275e-05
102,0.0,5.43221e-07,3.77587e-05,2.8831e-05,7.4823e-05,0.00015523,4.61601e-05,9.7064e-06,4.29718e-07,3.44887e-05
103,7.91216e-06,5.42279e-07,3.43053e-05,2.88139e-05,6.68487e-06,0.0,4.61575e-05,9.68827e-06,4.2734e-07,3.45646e-05
104,0.0,5.40489e-07,3.78653e-05,2.88062e-05,7.33639e-05,0.000156721,4.61552e-05,9.67012e-06,4.25227e-07,3.45675e-05
105,7.9122e-06,5.38653e-07,3.56121e-05,2.88004e-05,6.08541e-06,0.0,4.61533e-05,9.65301e-06,4.23347e-07,3.45834e-05
106,0.0,5.37696e-07,3.78778e-05,2.87953e-05,7.10445e-05,0.000157175,4.61516e-05,9.63482e-06,4.21694e-07,3.45901e-05
107,7.91224e-06,5.37507e-07,3.6116e-05,2.87434e-05,9.23076e-06,0.0,4.61501e-05,9.61516e-06,4.20231e-07,3.46546e-05
108,0.0,5.36561e-07,3.80172e-05,2.86659e-05,6.58665e-05,0.00015807,4.61488e-05,9.5953e-06,4.18957e-07,3.46255e-05
109,7.91209e-06,5.36639e-07,3.6314e-05,2.86279e-05,1.34621e-05,0.0,4.61476e-05,9.57562e-06,4.17829e-07,3.46557e-05
110,0.0,5.36562e-07,3.82124e-05,2.8611e-05,6.71126e-05,0.000159508,4.61466e-05,9.55624e-06,4.16855e-07,3.46829e-05
111,7.9119e-06,5.36243e-07,3.70438e-05,2.8732e-05,1.55011e-05,0.0,4.61456e-05,9.53722e-06,4.15988e-07,3.47034e-05
112,0.0,5.36409e-07,3.77879e-05,2.8731e-05,6.19901e-05,0.000160478,4.61448e-05,9.51856e-06,4.1525e-07,3.46975e-05
113,7.91175e-06,5.36231e-07,3.69376e-05,2.87038e-05,1.71791e-05,0.0,4.6144e-05,9.50029e-06,4.14582e-07,3.47682e-05
114,0.0,5.36323e-07,3.77902e-05,2.86855e-05,6.1841e-05,0.000161322,4.61432e-05,9.48236e-06,4.14028e-07,3.47466e-05
115,7.91145e-06,5.35778e-07,3.74925e-05,2.86754e-05,1.70857e-05,0.0,4.61425e-05,9.46418e-06,4.13512e-07,3.47241e-05
116,0.0,5.35117e-07,3.80284e-05,2.86649e-05,6.17276e-05,0.000162272,4.61419e-05,9.4459e-06,4.13102e-07,3.47791e-05
117,7.91145e-06,5.33044e-07,3.75819e-05,2.86341e-05,1.93622e-05,0.0,4.61413e-05,9.42573e-06,4.127e-07,3.48052e-05
118,0.0,5.32576e-07,3.81016e-05,2.86109e-05,5.94055e-05,0.000162555,4.61407e-05,9.40499e-06,4.12405e-07,3.48111e-05
119,7.91127e-06,5.29627e-07,3.76279e-05,2.85983e-05,2.05296e-05,0.0,4.61402e-05,9.38501e-06,4.12087e-07,3.48331e-05
120,0.0,5.27739e-07,3.80092e-05,2.85917e-05,5.84448e-05,0.000163623,4.61398e-05,9.36581e-06,4.11889e-07,3.48617e-05
121,7.91093e-06,5.2472e-07,3.76595e-05,2.85866e-05,2.14363e-05,0.0,4.61393e-05,9.34725e-06,4.11633e-07,3.48449e-05
122,0.0,5.24165e-07,3.78492e-05,2.85756e-05,5.70876e-05,0.000163925,4.61389e-05,9.32925e-06,4.11645e-07,3.48661e-05
123,7.91079e-06,5.22877e-07,3.7548e-05,2.85656e-05,2.22004e-05,0.0,4.61385e-05,9.31173e-06,4.11369e-07,3.48512e-05
124,0.0,5.2104e-07,3.72378e-05,2.85572e-05,5.48893e-05,0.000164261,4.61381e-05,9.29464e-06,4.11379e-07,3.48845e-05
125,7.91092e-06,5.20724e-07,3.79682e-05,2.84993e-05,2.42183e-05,0.0,4.61378e-05,9.27793e-06,4.11521e-07,3.49248e-05
126,0.0,5.18731e-07,3.75396e-05,2.84241e-05,5.37283e-05,0.000165591,4.61374e-05,9.26123e-06,4.11447e-07,3.49292e-05
127,7.91089e-06,5.18925e-07,3.83768e-05,2.83837e-05,2.58989e-05,0.0,4.61371e-05,9.24433e-06,4.11326e-07,3.49561e-05
128,0.0,5.19052e-07,3.79591e-05,2.83613e-05,5.23876e-05,0.000165967,4.61368e-05,9.22673e-06,4.11093e-07,3.49479e-05
129,7.91084e-06,5.18311e-07,3.84317e-05,2.79126e-05,2.72267e-05,0.0,4.61366e-05,9.20893e-06,4.10969e-07,3.49991e-05
130,0.0,5.16985e-07,3.81856e-05,2.76473e-05,5.13285e-05,0.000166842,4.61363e-05,9.19128e-06,4.10768e-07,3.49659e-05
131,7.91054e-06,5.16733e-07,3.82392e-05,2.75486e-05,2.84862e-05,0.0,4.61361e-05,9.17394e-06,4.1083e-07,3.49892e-05
132,0.0,5.12198e-07,3.80038e-05,2.75092e-05,4.89806e-05,0.000167532,4.61358e-05,9.15695e-06,4.10616e-07,3.50052e-05
133,7.91064e-06,5.15476e-07,3.8553e-05,2.74918e-05,2.93623e-05,0.0,4.61356e-05,9.13992e-06,4.1077e-07,3.50308e-05
134,0.0,5.13736e-07,3.82603e-05,2.74836e-05,4.82795e-05,0.000168638,4.61354e-05,9.12159e-06,4.11822e-07,3.50618e-05
135,7.9106e-06,5.13567e-07,3.8596e-05,2.7479e-05,3.086e-05,0.0,4.61352e-05,9.10205e-06,4.12767e-07,3.50545e-05
136,0.0,5.13431e-07,3.83402e-05,2.7476e-05,4.66994e-05,0.000167996,4.61351e-05,9.08233e-06,4.14363e-07,3.50317e-05
137,7.9104e-06,5.12168e-07,3.87401e-05,2.74738e-05,3.21216e-05,0.0,4.61349e-05,9.06285e-06,4.15204e-07,3.50676e-05
138,0.0,5.08408e-07,3.85477e-05,2.74721e-05,4.55322e-05,0.000167757,4.61347e-05,9.04372e-06,4.17021e-07,3.5015e-05
139,7.91049e-06,5.06605e-07,3.88192e-05,2.74692e-05,3.28672e-05,0.0,4.61346e-05,9.02499e-06,4.18359e-07,3.50434e-05
140,0.0,5.02824e-07,3.86348e-05,2.74657e-05,4.53852e-05,0.000168627,4.61344e-05,9.0066e-06,4.23873e-07,3.50422e-05
